Name,URL,Price,Rating
"Dell Inspiron 15 5000 Laptop Computer: Core i7-8550U, 128GB SSD + 1TB HDD, 8GB RAM, 15.6-inch Full HD Display, Backlit Keyboard, Windows 10",/Dell-Inspiron-5000-Laptop-Computer/dp/B079K6HCQJ/ref=sr_1_20?keywords=dell+laptop&qid=1564683533&s=gateway&sr=8-20,"770
.",
"Dell Inspiron 15 5000 15.6-inch Touchscreen FHD 1080p Premium Laptop, Intel Quad Core i5-8250U Processor, 12GB RAM, 1TB Hard Drive, DVD Writer, Backlit Keyboard, Bluetooth, Silver",/Dell-Inspiron-5000-15-6-inch-Touchscreen/dp/B07L2SCRPC/ref=sr_1_21?keywords=dell+laptop&qid=1564683533&s=gateway&sr=8-21,"589
.",
New Genuine Inspiron 11 13 14 15 Laptop Charger 45W(watt) Slim AC Power Adapter(LA45NM140/0KXTTW/0285K) for Dell Inspiron 3000 5000 7000 Series Charger,/Genuine-Inspiron-Charger-LA45NM140-Dell/dp/B07RLR5PVJ/ref=sr_1_22?keywords=dell+laptop&qid=1564683533&s=gateway&sr=8-22,"25
.",
"2019 Dell Inspiron 15 5000 5570 15.6"" Full HD Touchscreen (1920x1080) Laptop (Intel Quad-Core i5-8250U, 16GB DDR4, 500GB M.2 SSD+1TB HDD) HDMI, 802.11 AC WiFi, Ethernet, Bluetooth, Windows 10 64-bit",/Dell-Inspiron-5000-5570-Laptop/dp/B07N49F51N/ref=sr_1_23?keywords=dell+laptop&qid=1564683533&s=gateway&sr=8-23,"693
.",
Dell 45W Replacement AC Adapter for Dell,/Dell-45W-Replacement-AC-Adapter/dp/B007OYLNGA/ref=sr_1_24?keywords=dell+laptop&qid=1564683533&s=gateway&sr=8-24,"28
.",3.8 out of 5 stars
"BatteryMon 45W 19.5V 2.31A Power Supply Ac Adapter for Dell Inspiron 15 5000 5555 5558 5559 3552, XPS 13 9350 9333 Ultrabook, HK45NM140 LA45NM140 HA45NM140 Laptop Charger",/BatteryMon-Ultrabook-HK45NM140-LA45NM140-HA45NM140/dp/B071WM2FTT/ref=sr_1_25?keywords=dell+laptop&qid=1564683533&s=gateway&sr=8-25,"16
.",4.1 out of 5 stars
Dell Inspiron 45W Laptop Charger Adapter Power Cord for Inspiron 15 3551 3552 3558 3559 5551 5552 5555 5558 5559 5565 5567 5568 5578 7558 7568 7569 7579; Inspiron 17 5755 5758 5759; XPS 11 12 13,/Dell-Inspiron-Laptop-Charger-Adapter/dp/B01M9ISOHV/ref=sr_1_26?keywords=dell+laptop&qid=1564683533&s=gateway&sr=8-26,"23
.",
"Dell i3567-5185BLK-PUS Inspiron, 15.6"" Laptop, (7th Gen Core i5 (up to 3.10 GHz), 8GB, 1TB HDD) Intel HD Graphics 620, Black",/Dell-i3567-5185BLK-PUS-Inspiron-Laptop-Graphics/dp/B06X9TH2RX/ref=sr_1_29?keywords=dell+laptop&qid=1564683533&s=gateway&sr=8-29,"499
.",
"2019 Dell Inspiron 15 5000 15.6"" Full HD Touchscreen Laptop Computer, 8th Gen Intel Quad-Core i7-8550U Up to 4.0GHz, 12GB DDR4, 1TB HDD, 802.11AC WiFi, HDMI, USB 3.0, Windows 10",/Dell-Inspiron-15-Touchscreen-Quad-Core/dp/B07MHGNLCD/ref=sr_1_30?keywords=dell+laptop&qid=1564683533&s=gateway&sr=8-30,"730
.",
"Dell Latitude E6420 14.1-Inch Laptop (Intel Core i5 2.5GHz with 3.2G Turbo Frequency, 4G RAM, 128G SSD, Windows 10 Professional 64-bit) (Renewed)",/Dell-Latitude-14-1-Inch-Professional-Refurbished/dp/B00VKL0I96/ref=sr_1_31?keywords=dell+laptop&qid=1564683533&s=gateway&sr=8-31,"199
.",
